__________ refers to those attributes of a system visible to a programmer. | Computer architecture
A common example of system interconnection is by means of a __________.| system bus
A _________ is a mechanism that provides for communication among CPU, main memory, and I/O.| system interconnection
_________ provide storage internal to the CPU.| Registers
The __________ performs the computer's data processing functions.| ALU
The world's first general-purpose electronic digital computer was designed and constructed at The Ohio State University.| False
John Mauchly and John Eckert designed the ENIAC.| True
The major drawback of the EDVAC was that it had to be programmed manually by setting switches and plugging and unplugging cables.| False
The IAS is the prototype of all subsequent general-purpose computers.| True
The IAS operates by repetitively performing an instruction cycle.| True
Backward compatible means that the programs written for the older machines can be executed on the new machine.| True
A vacuum tube is a solid-state device made from silicon.| False
Computers are classified into generations based on the fundamental hardware technology employed.| True
System software was introduced in the third generation of computers.| False
A wafer is made of silicon and is broken up into chips which consists of many gates and/or memory cells plus a number of input and output attachment points.| True
IBM's System/360 was the industry's first planned family of computers.| True
Intel's 4004 was the first chip to contain all of the components of a CPU on a single chip.| True
Designers wrestle with the challenge of balancing processor performance with that of main memory and other computer components.| True
The Intel x86 evolved from RISC design principles and is used in embedded systems.| False
A common measure of performance for a processor is the rate at which instructions are executed, expressed as billions of instructions per seconds (BIPS).| False
The _________ was the world's first general-purpose electronic digital computer.| ENIAC
The Electronic Numerical Integrator and Computer project was a response to U.S. needs during _________.| World War II
The ENIAC used __________.| vacuum tubes
The ENIAC is an example of a _________ generation computer.| first
The __________ interprets the instructions in memory and causes them to be executed.| control unit
The memory of the IAS consists of 1000 storage locations called __________.| words
The __________ contains the 8-bit opcode instruction being executed.| instruction register
During the _________ the opcode of the next instruction is loaded into the IR and the address portion is loaded into the MAR.| fetch cycle
Second generation computers used __________.| ransistors
The __________ defines the third generation of computers.| integrated circuit
The use of multiple processors on the same chip is referred to as __________ and provides the potential to increase performance without increasing the clock rate.| multicore
With the __________, Intel introduced the use of superscalar techniques that allow multiple instructions to execute in parallel.| Pentium
The __________ measures the ability of a computer to complete a single task.| speed metric
ARM processors are designed to meet the needs of _________.| all of the above
One increment, or pulse, of the system clock is referred to as a _________.| clock tick
The digital circuitry in digital computers and other digital systems is designed, and its behavior is analyzed, with the use of a mathematical discipline known as|Boolean algebra
The basic logical operations of Boolean algebra are AND, OR, and|NOT
The fundamental building block of all digital logic circuits is the|gate
Each gate is defined in three ways: graphic symbol, algebraic notation, and |truth table
To ________ a signal is to cause a signal line to make a transition from its logically false (0) state to its logically true (1) state.|assert
A ________ is an interconnected set of gates whose output at any time is a function only of the input at that time.|combinational circuit
A combinational circuit can be defined by Boolean equations, truth table, and _________.|graphical symbols
Consisting of an array of 2" squares representing all possible combinations of values of n binary variables, the _________ is a convenient way of representing a Boolean function of a small number (up to four) of variables.|Karnaugh map
The _________ connects multiple inputs to a single output.|multiplexer
A _________ is a combinational circuit with a number of output lines, only one of which is asserted at any time.|decoder
The simplest form of sequential circuit is the _________.|flip-flop
A ________ is a register whose value is easily incremented by 1 modulo the capacity of the register.|counter
An asynchronous counter is also referred to as a ________ because the change that occurs to increment the counter starts at one end and "ripples" through to the other end.|ripple counter
A _________ is a relatively small PLD that contains two levels of logic, an AND-plane and an OR-plane, where both levels are programmable.|programmable logic array (PLA)
Also referred to as a field-programmable device (FPD), a __________ refers to any type of integrated circuit used for implementing digital hardware, where the chip can be configured by the end user to realize different designs.|programmable logic device (PLD)
What types of locations can hold source and destination operands?|Registers and memory.
If an instruction contains four addresses, what might be the purpose of each address?|Two operands, one result, and the address of the next instruction
What types of operands are typical in machine instruction sets?|Addresses, numbers, characters, logical data.
What is meant by the term nesting of procedures?|The term refers to the occurrence of a procedure call inside a procedure.
List three possible places for storing the return address for a procedure return.|Register, start of procedure, top of stack
The operation of the processor is determined by the instructions it executes, referred to as _________ or computer instructions.|machine instructions
The collection of different instructions that the processor can execute is referred to as the processor's _________.|instruction set
The __________ reference tells the processor where to fetch the next instruction after the execution of this instruction is complete.|next instruction
Source and result operands can be in one of four areas: main or virtual memory, immediate, I/O device, and _________.|processor register
Opcodes are represented by abbreviations, called __________ that indicate the operation.|mnemonics
Instruction types can be categorized as: data processing, data storage, control, and ________.|data movement
Zero-address instructions are applicable to a special memory organizations called a _________, which is a last-in-first-out set of locations.|stack
The most important general categories of data are: addresses, numbers, characters, and _________.|logical data
Today the most commonly used character code is the IRA, referred to in the United States as _____________.|ASCII (American Standard Code for Information Interchange)
________ instructions are those that change the format or operate on the format of data|Conversion
_________ instructions are those that can be executed only while the processor is in a certain privileged state or is executing a program in a special privileged area of memory.|System control
A self-contained computer program that is incorporated into a larger program is a __________.|procedure
The x86 provides four instructions to support procedure call/return: CALL, ENTER, LEAVE, and _________.|RETURN
_________ are bits in special registers that may be set by certain operations and used in conditional branch instructions|Status flags
Intel's ________ technology is a set of highly optimized instructions for multimedia tasks.|MMX
The operation of the digital computer is based on the storage and processing of binary data.|True
Claude Shannon, a research assistant in the Electrical Engineering Department at M.I.T., proposed the basic principles of Boolean algebra.|False
In the absence of parentheses, the AND operation takes precedence over the OR operation.|True
Logical functions are implemented by the interconnection of decoders.|False
The delay by the propagation time of signals through the gate is known as the gate delay.|True
A combinational circuit consists of n binary inputs and m binary outputs.|True
Any Boolean function can be implemented in electronic form as a network of gates.|True
A Boolean function can be realized in the sum of products (SOP) form but not in the product of sums (POS) form.|False
"Don't care" conditions are when certain combinations of values of variables never occur, and therefore the corresponding output never occurs|True
The value to be loaded into the program counter can come from a binary counter, the instruction register, or the output of the ALU.|True
In general, a decoder has n inputs and 2n outputs.|True
Combinational circuits are often referred to as "memoryless" circuits because their output depends only on their current input and no history of prior inputs is retained.|True
Binary addition is exactly the same as Boolean algebra.|False
Events in the digital computer are synchronized to a clock pulse so that changes occur only when a clock pulse occurs|True
A register is a digital circuit used within the CPU to store one or more bits of data.|True
The operand ________ yields true if and only if both of its operands are true.|AND
The operation _________ yields true if either or both of its operands are true.|OR
The unary operation _________ inverts the value of its operand.|NOT
A _______ is an electronic circuit that produces an output signal that is a simple Boolean operation on its input signals.|gate
Which of the following is a functionally complete set?|all of the above
For more than four variables an alternative approach is a tabular technique referred to as the _________ method.|Quine-McCluskey
________ are used in digital circuits to control signal and data routing.|Multiplexers
________ is implemented with combinational circuits.|Read only memory
The ________ exists in one of two states and, in the absence of input, remains in that state.|flip-flop
The ________ flip-flop has two inputs and all possible combinations of input values are valid.|J-K
A _________ accepts and/or transfers information serially.|shift register
Counters can be designated as _________.|both asynchronous and synchronous
CPUs make use of _________ counters, in which all of the flip-flops of the counter change at the same time.|synchronous
The _________ table provides the value of the next output when the inputs and the present output are known, which is exactly the information needed to design the counter or any sequential circuit.|excitation
A _________ is a PLD featuring a general structure that allows very high logic capacity and offers more narrow logic resources and a higher ration of flip-flops to logic resources than do CPLDs.|FPGA
One boundary where the computer designer and the computer programmer can view the same machine is the machine instruction set.|True
The operation to be performed is specified by a binary code known as the operation code.|True
The address of the next instruction to be fetched must be a real address, not a virtual address.|False
It has become common practice to use a symbolic representation of machine instructions.|True
A high-level language expresses operations in a basic form involving the movement of data to or from registers.|False
One of the traditional ways of describing processor architecture is in terms of the number of addresses contained in each instruction.|True
Memory references are faster than register references.|False
The instruction set is the programmer's means of controlling the processor.|True
Addresses are a form of data.|True
Not all machine languages include numeric data types.|False
ARM processors support data types of 8 (byte), 16 (halfword), and 32 (word) bits in length.|True
Most machines provide the basic arithmetic operations of add, subtract, multiply, and divide.|True
A branch can be either forward or backward.|True
Procedures do not allow programming tasks to be subdivided into smaller units.|False
The focus of MMX technology is multimedia programming.|True
The ________ specifies the operation to be performed|opcode
A(n) _________ expresses operations in a concise algebraic form using variables.|high-level language
There must be ________ instructions for moving data between memory and the registers.|memory
________ instructions operate on the bits of a word as bits rather than as numbers, providing capabilities for processing any other type of data the user may wish to employ.|logic
_________ instructions provide computational capabilities for processing number data.|Arithmetic
_______ instructions are needed to transfer programs and data into memory and the results of computations back out to the user.|I/O
The x86 data type that is a signed binary value contained in a byte, word, or doubleword, using twos complement representation is _________.|integer
The most fundamental type of machine instruction is the _________ instruction.|data transfer
The _________ instruction includes an implied address.|skip
Which of the following is a true statement?|all of the above
The entire set of parameters, including return address, which is stored for a procedure invocation is referred to as a _________.|stack frame
Which ARM operation category includes logical instructions (AND, OR, XOR), add and subtract instructions, and test and compare instructions?|data-processing instructions
In the ARM architecture only _________ instructions access memory locations.|load and store
Which data type is defined in MMX?|all of the above
A branch instruction in which the branch is always taken is _________.|unconditional branch
Data may be transferred from processor to memory or from memory to processor|Processor-memory:
Data may be transferred to or from a peripheral device by transferring between the processor and an I/O module|Processor-I/O: 
The processor may perform some arithmetic or logic operation on data|Data processing: 
An instruction may specify that the sequence of execution be altered|Control: 
The processor reads an instruction or a unit of data from memory|Memory to processor: 
The processor writes a unit of data to memory|Processor to memory: 
The processor reads data from an I/O device via an I/O module|I/O to processor:
The processor sends data to the I/O device.|Processor to I/O: 
For these two cases, an I/O module is allowed to exchange data directly with memory, without going through the processor, using direct memory access (DMA)|I/O to or from memory: 
A __________ register specifies the address in memory for the next read or write|memory address (MAR)
A _________ register contains the data to be written into memory or receives the data read from memory.|memory buffer (MBR)
The most common classes of interrupts are: program, timer, I/O and ________.|hardware failure
A(n) ________ interrupt is generated by an I/O controller to signal normal completion of an operation, request service from the processor, or to signal a variety of error conditions|I/O
A _________ interrupt simply means that the processor can and will ignore that interrupt request signal.|disabled
The collection of paths connecting the various modules is called the _________ structure.|interconnection
A __________ is a communication pathway connecting two or more devices|bus
The _________ lines are used to control the access to and the use of the data and address lines.|control
Bus lines can be separated into two generic types: ________ and multiplexed|dedicated
With __________ timing the occurrence of one event on a bus follows and depends on the occurrence of a previous event.|asynchronous
With _________ transmission signals are transmitted as a current that travels down one conductor and returns on the other|balanced
The QPI link layer performs two key functions: flow control and _________ control|error
The __________ is a popular high-bandwidth, processor-independent bus that can function as a mezzanine or peripheral bus| peripheral component interconnect (PCI)
The _________ function is needed to ensure that a sending QPI entity does not overwhelm a receiving QPI entity by sending data faster than the receiver can process the data and clear buffers for more incoming data|flow control
At a top level, a computer consists of CPU, memory, and I/O components|True
The basic function of a computer is to execute programs|True
Program execution consists of repeating the process of instruction fetch and instruction execution|True
Interrupts do not improve processing efficiency|False
An I/O module cannot exchange data directly with the processor| False
A key characteristic of a bus is that it is not a shared transmission medium|False
Computer systems contain a number of different buses that provide pathways between components at various levels of the computer system hierarchy|True
In general, the more devices attached to the bus, the greater the bus length and hence the greater the propagation delay|True
It is not possible to connect I/O controllers directly onto the system bus|False
The method of using the same lines for multiple purposes is known as time multiplexing|True
Timing refers to the way in which events are coordinated on the bus|True
With asynchronous timing the occurrence of events on the bus is determined by a clock|False
Because all devices on a synchronous bus are tied to a fixed clock rate, the system cannot take advantage of advances in device performance|True
The unit of transfer at the link layer is a phit and the unit transfer at the physical layer is a flit|False
A key requirement for PCIe is high capacity to support the needs of higher data rate I/O devices such as Gigabit Ethernet|true
Virtually all contemporary computer designs are based on concepts developed by __________ at the Institute for Advanced Studies, Princeton|John von Neumann
The von Neumann architecture is based on which concept|all of the above
A sequence of codes or instructions is called __________|software
The processing required for a single instruction is called a(n) __________ cycle|instruction
A(n) _________ is generated by a failure such as power failure or memory parity error|hardware failure interrupt
A(n) _________ is generated by some condition that occurs as a result of an instruction execution|program interrupt
The interconnection structure must support which transfer?|all of the above
A bus that connects major computer components (processor, memory, I/O) is called a __________|system bus
The __________ are used to designate the source or destination of the data on the data bus|address lines
The data lines provide a path for moving data among system modules and are collectively called the _________|data bus
A __________ is the high-level set of rules for exchanging packets of data between devices|protocol
Each data path consists of a pair of wires (referred to as a __________) that transmits data one bit at a time|lane
The _________ receives read and write requests from the software above the TL and creates request packets for transmission to a destination via the link layer|transaction layer
The TL supports which of the following address spaces?|all of the above
The QPI _________ layer is used to determine the course that a packet will traverse across the available system interconnects| routing
No single technology is optimal in satisfying the memory requirements for a computer system|True
A typical computer system is equipped with a hierarchy of memory subsystems, some internal to the system and some external|True
External memory is often equated with main memory|False
The processor requires its own local memory|True
Cache is not a form of internal memory|False
The unit of transfer must equal a word or an addressable unit| False
Both sequential access and direct access involve a shared read-write mechanism|True
In a volatile memory, information decays naturally or is lost when electrical power is switched off|True
To achieve greatest performance the memory must be able to keep up with the processor|True
Secondary memory is used to store program and data files and is usually visible to the programmer only in terms of individual bytes or words|False
The L1 cache is slower than the L3 cache|False
With write back updates are made only in the cache|True
It has become possible to have a cache on the same chip as the processor|True
All of the Pentium processors include two on-chip L1 caches, one for data and one for instructions|True
Cache design for HPC is the same as that for other hardware platforms and applications|False
__________ refers to whether memory is internal or external to the computer|Location
Internal memory capacity is typically expressed in terms of _________|bytes
For internal memory, the __________ is equal to the number of electrical lines into and out of the memory module|unit of transfer
"Memory is organized into records and access must be made in a specific linear sequence" is a description of __________|sequential access

individual blocks or records have a unique address based on physical location with __________|direct access
For random-access memory, __________ is the time from the instant that an address is presented to the memory to the instant that data have been stored or made available for use|access time
The ________ consists of the access time plus any additional time required before a second access can commence|memory cycle time
A portion of main memory used as a buffer to hold data temporarily that is to be read out to disk is referred to as a _________|disk cache
A line includes a _________ that identifies which particular block is currently being stored|tag
__________ is the simplest mapping technique and maps each block of main memory into only one possible cache line|Direct mapping
When using the __________ technique all write operations made to main memory are made to the cache as well|write through
The key advantage of the __________ design is that it eliminates contention for the cache between the instruction fetch/decode unit and the execution unit|split cache
The Pentium 4 _________ component executes micro-operations, fetching the required data from the L1 data cache and temporarily storing results in registers|execution unit
In reference to access time to a two-level memory, a _________ occurs if an accessed word is not found in the faster memory| miss
A logical cache stores data using __________|virtual addresses
In earlier computers the most common form of random-access storage for computer main memory employed an array of doughnut-shaped ferromagnetic loops referred to as . |  cores
RAM, ROM, PROM, EPROM, EEPROM, and flash memory are all examples of __________ memory types. |semiconductor
A _________ RAM is made with cells that store data as charge on capacitors.|dynamic
A __________ RAM is a digital device that uses the same logic elements used in the processor.|static
Three common forms of read-mostly memory are: EPROM, EEPROM, and |flash memory
A __________ failure is a permanent physical defect so that the memory cell or cells affected cannot reliably store data but become stuck at 0 or 1 or switch erratically between 0 and 1.|hard
A __________ error is a random, nondestructive event that alters the contents of one or more memory cells without damaging the memory.soft
The simplest of the error-correcting codes is the _________ code.|Hamming
One of the most widely used forms of DRAM is the _________ DRAM.|synchronous
The DRAM schemes that currently dominate the market are: SDRAM, DDR-DRAM, and _________.|RDRAM
__________ chips are vertical packages with all pins on one side and can exchange data with the processor over 28 wires no more than 12 centimeters long.|RDRAM
_________ , developed by Mitsubishi, integrates a small SRAM cache onto a generic DRAM chip|Cache DRAM (CDRAM)
A new version of SDRAM, referred to as __________, can send data twice per clock cycle, once on the rising edge of the clock pulse and once on the falling edge|Double-data-rate SDRAM (DDR SDRAM)
The traditional __________ chip is constrained both by its internal architecture and by its interface to the processor's memory bus.|DRAM
A typical DRAM pin configuration will include the __________ pin if necessary in order to have an even number of pins|no connect (NC)
What is the typical disk sector size?|512 bytes.
A __________ is a circular platter constructed of nonmagnetic material, called the substrate, coated with a magnetizable material.|disk
Data are recorded on and later retrieved from the disk via a conducting coil named the _________.|head
Data is organized on the platter in a concentric set of rings called ________.|tracks
To increase density in a straightforward CAV system, modern hard disk systems use a technique known as __________, in which the surface is divided into a number of concentric zon|multiple zone recording
In a _________ disk there is one read-write head per track and all of the heads are mounted on a rigid arm that extends across all tracks.|fixed-head
In a __________ disk there is only one read-write head mounted on an arm that can be extended or retracted to be able to be positioned above any track.|movable-head
The _________ disk is a small, flexible platter and the least expensive type of disk|floppy
__________ heads are used in sealed drive assemblies that are almost free of contaminants and the head is actually an aerodynamic foil that rests lightly on the platter's surface when the disk is motionless.|Winchester
On a movable-head system, the time it takes to position the head at the track is known as __________.|seek time
The time required to move the disk arm to the required track is the __________.|rotational delay (rotational latency)
The _________ strategy employs multiple disk drives and distributes data in such a way as to enable simultaneous access to data from multiple drives, thereby improving I/O performance and allowing easier incremental increases in capacity.|RAID
RAID levels 2 and 3 make use of a _________ access technique in which all member disks participate in the execution of every I/O request.|parallel
A _________ drive is a memory device made with solid-state components that can be used as a replacement to a hard disk drive.|solid state
The typical recording technique used in serial tapes is referred to as _________ recording.|serpentine
RAID levels 4 through 6 make use of an __________ access technique that allows separate I/O requests to be satisfied in parallel.|independent
The basic element of a semiconductor memory is the memory cell.|True
A characteristic of ROM is that it is volatile. |False
RAM must be provided with a constant power supply. |True
The two traditional forms of RAM used in computers are DRAM and SRAM.| True
A static RAM will hold its data as long as power is supplied to it. |True
Nonvolatile means that power must be continuously supplied to the memory to preserve the bit values. |False
The advantage of RAM is that the data or program is permanently in main memory and need never be loaded from a secondary storage device.| False
Semiconductor memory comes in packaged chips. |True
All DRAMs require a refresh operation. |True
A number of chips can be grouped together to form a memory bank. |True
An error-correcting code enhances the reliability of the memory at the cost of added complexity.| True
DRAM is much costlier than SRAM.| False
RDRAM is limited by the fact that it can only send data to the processor once per bus clock cycle. |False
The prefetch buffer is a memory cache located on the RAM chip. |True
The SRAM on the CDRAM cannot be used as a buffer to support the serial access of a block of data.| False
Which properties do all semiconductor memory cells share?| all of the above
One distinguishing characteristic of memory that is designated as _________ is that it is possible to both to read data from the memory and to write new data into the memory easily and rapidly. |RAM
Which of the following memory types are nonvolatile? |all of the above
In a _________, binary values are stored using traditional flip-flop logic-gate configurations.| SRAM
A __________ contains a permanent pattern of data that cannot be changed, is nonvolatile, and cannot have new data written into it. |ROM
With _________ the microchip is organized so that a section of memory cells are erased in a single action.| flash memory
__________ can be caused by harsh environmental abuse, manufacturing defects, and wear. |Hard errors
_________ can be caused by power supply problems or alpha particles. |Soft errors
The _________ exchanges data with the processor synchronized to an external clock signal and running at the full speed of the processor/memory bus without imposing wait states. |SDRAM
________ can send data to the processor twice per clock cycle.| DDR-DRAM
__________ increases the data transfer rate by increasing the operational frequency of the RAM chip and by increasing the prefetch buffer from 2 bits to 4 bits per chip.| DDR2
________ increases the prefetch buffer size to 8 bits.| DDR3
Theoretically, a DDR module can transfer data at a clock rate in the range of __________ MHz. |200 to 600
A DDR3 module transfers data at a clock rate of __________ MHz.| 800 to 1600
The ________ enables the RAM chip to preposition bits to be placed on the data bus as rapidly as possible.| buffer
Magnetic disks are the foundation of external memory on virtually all computer systems.| True
During a read or write operation, the head rotates while the platter beneath it stays stationary.| False
The width of a track is double that of the head.| False
There are typically hundreds of sectors per track and they may be either fixed or variable lengths.| True
A bit near the center of a rotating disk travels past a fixed point slower than a bit on the outside.| True
The disadvantage of using CAV is that individual blocks of data can only be directly addressed by track and sector.| False

A removable disk can be removed and replaced with another disk.| True

The head must generate or sense an electromagnetic field of sufficient magnitude to write and read properly.| True

The transfer time to or from the disk does not depend on the rotation speed of the disk. |False

RAID is a set of physical disk drives viewed by the operating system as a single logical drive. |True

RAID level 0 is not a true member of the RAID family because it does not include redundancy to improve performance.| True

Because data are striped in very small strips, RAID 3 cannot achieve very high data transfer rates.| False

The SSDs now on the market use a type of semiconductor memory referred to as flash memory. |True

SSD performance has a tendency to speed up as the device is used.| False

Flash memory becomes unusable after a certain number of writes. |True

Greater ability to withstand shock and damage, improvement in the uniformity of the magnet film surface to increase disk reliability, and a significant reduction in overall surface defects to help reduce read-write errors, are all benefits of ___________. |the glass substrate

Adjacent tracks are separated by _________.| gaps

Data are transferred to and from the disk in __________.| sectors

In most contemporary systems fixed-length sectors are used, with _________ bytes being the nearly universal sector size.| 512

Scanning information at the same rate by rotating the disk at a fixed speed is known as the _________. |constant angular velocity

The disadvantage of _________ is that the amount of data that can be stored on the long outer tracks is only the same as what can be stored on the short inner tracks.| CAV

A __________ disk is permanently mounted in the disk drive, such as the hard disk in a personal computer. |nonremovable

When the magnetizable coating is applied to both sides of the platter the disk is then referred to as _________.| double sided

The set of all the tracks in the same relative position on the platter is referred to as a _________. |cylinder

The sum of the seek time and the rotational delay equals the _________, which is the time it takes to get into position to read or write.| access time

__________ is the standardized scheme for multiple-disk database design. |RAID

RAID level ________ has the highest disk overhead of all RAID types. |1

A _________ is a high-definition video disk that can store 25 Gbytes on a single layer on a single side. |Blu-ray DVD

________ is when the disk rotates more slowly for accesses near the outer edge than for those near the center. |Constant linear velocity (CLV)
The areas between pits are called _________. |lands
When a DMA module takes control of a bus, and while it retains control of the bus, what does the processor do? | The processor pauses for each bus cycle stolen by the DMA module.
Interface to the processor and memory via the system bus or central switch and interface to one or more peripheral devices by tailored data links are two major functions of an _____________. | I/O module
An external device connected to an I/O module is often referred to as a __________ device. | peripheral
We can broadly classify external devices into three categories: human readable, communication, and __________. | machine readable
The U.S. national version of the International Reference Alphabet is referred to as __________. | ASCII
The categories for the major functions or requirements for an I/O module are: control and timing, device communication, data buffering, error detection, and _________.| processor communication
In __________ mode the I/O module and main memory exchange data directly, without processor involvement.| direct memory access (DMA)	 
There are four types of I/O commands that an I/O module may receive when it is addressed by a processor: control, test, write, and _________. | read
When the processor, main memory, and I/O share a common bus, two modes of addressing are possible: memory mapped and ________. | isolated
The ________ is a single-chip, general-purpose I/O module designed for use with the Intel 80386 processor. | 82C55A
A ________ controls multiple high-speed devices and, at any one time, is dedicated to the transfer of data with one of those devices. | selector channel
In a _________ interface there are multiple lines connecting the I/O module and the peripheral and multiple bits are transferred simultaneously. | parallel
In a ________ interface there is only one line used to transmit data and bits must be transmitted one at a time. | serial
The most recent, and fastest, peripheral connection technology to become available for general-purpose use is __________, developed by Intel with collaboration from Apple. | Thunderbolt
________ enables servers, remote storage, and other network devices to be attached in a central fabric of switches and links, connecting up to 64,000 servers, storage systems, and networking devices. | InfiniBand
A ________ machine is an instance of an operating system along with one or more applications running in an isolated memory partition within the computer, enabling different operating systems to run in the same computer at the same time, as well as preventing applications from interfering with each other | virtual
Long-term scheduling | The decision to add to the pool of processes to be executed
Medium-term scheduling | The decision to add to the number of processes that are partially or fully in main memory
Short-term scheduling | The decision as to which available process will be executed by the processor
I/O scheduling | The decision as to which process's pending I/O request shall be handled by an available I/O device
Is it necessary for all of the pages of a process to be in main memory while the process is executing? | No, if virtual memory is used.
Must the pages of a process in main memory be contiguous? | No.
Is it necessary for the pages of a process in main memory to be in sequential order? | No.
The _________ is a program that manages the computer's resources, provides services for programmers, and schedules the execution of other programs. | operating system (OS)
Three key interfaces in a typical computer system are: instruction set architecture, application programming interface, and ___________. | application binary interface (ABI)
The __________ , or nucleus, contains the most frequently used functions in the OS. | kernel
In an _________ system the user/programmer interacts directly with the computer, usually through a keyboard/display terminal to request the execution of a job or to perform a transaction. | interactive
A _________ system groups the user's program with programs for other users and is submitted by a computer operator, with results being printed out for the user upon completion of the program. | batch
Early computer systems presented two main problems: setup time and _____. | scheduling
The portion of the monitor that must always be in main memory and available for execution is referred to as the __________. | resident monitor
The technique where memory is expanded to hold three, four, or more programs and switch among all of them is __________, (or multitasking). | multiprogramming
In a _________ system multiple users simultaneously access the system through terminals, with the OS interleaving the execution of each user program in a short burst or quantum of computation. | time-sharing
The five defined states for a process are: new, ready, waiting, halted, and ________. | running
Each process is represented in the OS by a ___________, which typically contains identifier, state, priority, program counter, memory pointers, context data, I/O status information, and accounting information. | process control block
